INFO:simplemc:Using 6 processors of 8 .
Initalizing nu density look up table... Done
Loading  /Users/atalianb/Documents/Doctorado/SimpleMC_barotropic/simplemc/data/Blok_McGaugh_&_Rubin_(2001)/ESO3020120.dat
Free parameters and values currently accepted:
Anfw = -7.465973893943865 +/- 0.01
rs = 1.74 +/- 0.01
INFO:simplemc:
	nlivepoints: 100
	accuracy: 0.01
	nested type: multi

it: 72 | ncall: 203 | eff: 35.961 | logz: -2.6034 | dlogz: 1.6471 | loglstar: -0.8279 | point -7.8578712   0.42260435
it: 73 | ncall: 206 | eff: 35.922 | logz: -2.5752 | dlogz: 1.6160 | loglstar: -0.8083 | point -8.06412715  4.99211226
it: 74 | ncall: 207 | eff: 36.232 | logz: -2.5478 | dlogz: 1.5856 | loglstar: -0.8069 | point -8.02122464  1.09084522
it: 75 | ncall: 209 | eff: 36.364 | logz: -2.5214 | dlogz: 1.5560 | loglstar: -0.8045 | point -8.0637145   2.93975014
it: 76 | ncall: 212 | eff: 36.321 | logz: -2.4957 | dlogz: 1.5274 | loglstar: -0.7978 | point -8.06978577  2.66542689
it: 77 | ncall: 214 | eff: 36.449 | logz: -2.4707 | dlogz: 1.4997 | loglstar: -0.7803 | point -8.09660965  4.88121039
it: 78 | ncall: 216 | eff: 36.574 | logz: -2.4459 | dlogz: 1.4726 | loglstar: -0.7475 | point -8.13376758  2.86093428
it: 79 | ncall: 218 | eff: 36.697 | logz: -2.4215 | dlogz: 1.4459 | loglstar: -0.7453 | point -8.1231707   1.66532121
it: 80 | ncall: 222 | eff: 36.486 | logz: -2.3978 | dlogz: 1.4198 | loglstar: -0.7341 | point -8.15525166  4.22648075
it: 81 | ncall: 225 | eff: 36.444 | logz: -2.3747 | dlogz: 1.3944 | loglstar: -0.7329 | point -8.1387451   1.58859125
it: 82 | ncall: 226 | eff: 36.726 | logz: -2.3522 | dlogz: 1.3696 | loglstar: -0.7185 | point -8.17494951  3.15236291
it: 83 | ncall: 227 | eff: 37.004 | logz: -2.3301 | dlogz: 1.3455 | loglstar: -0.7128 | point -7.69059547  0.17966091
it: 84 | ncall: 228 | eff: 37.281 | logz: -2.3087 | dlogz: 1.3219 | loglstar: -0.7050 | point -8.18109712  1.64171952
it: 85 | ncall: 230 | eff: 37.391 | logz: -2.2875 | dlogz: 1.2990 | loglstar: -0.6828 | point -8.23032573  3.4780968 
it: 86 | ncall: 231 | eff: 37.662 | logz: -2.2667 | dlogz: 1.2765 | loglstar: -0.6752 | point -8.21549456  1.18401963
it: 87 | ncall: 232 | eff: 37.931 | logz: -2.2464 | dlogz: 1.2544 | loglstar: -0.6651 | point -8.15272344  0.49981674
it: 88 | ncall: 233 | eff: 38.197 | logz: -2.2264 | dlogz: 1.2328 | loglstar: -0.6519 | point -8.26129032  1.27232563
it: 89 | ncall: 236 | eff: 38.136 | logz: -2.2069 | dlogz: 1.2117 | loglstar: -0.6513 | point -8.26279865  1.28563513
it: 90 | ncall: 237 | eff: 38.397 | logz: -2.1878 | dlogz: 1.1911 | loglstar: -0.6484 | point -8.28347444  2.07039086
it: 91 | ncall: 242 | eff: 38.017 | logz: -2.1693 | dlogz: 1.1710 | loglstar: -0.6471 | point -8.15945102  0.41883645
it: 92 | ncall: 243 | eff: 38.272 | logz: -2.1513 | dlogz: 1.1515 | loglstar: -0.6403 | point -8.29932544  2.09127851
it: 93 | ncall: 245 | eff: 38.367 | logz: -2.1336 | dlogz: 1.1324 | loglstar: -0.6373 | point -9.95895205  2.46046001
it: 94 | ncall: 247 | eff: 38.462 | logz: -2.1164 | dlogz: 1.1138 | loglstar: -0.6355 | point -9.93071505  0.79487948
it: 95 | ncall: 251 | eff: 38.247 | logz: -2.0996 | dlogz: 1.0956 | loglstar: -0.6354 | point -9.9531444   3.07834619
it: 96 | ncall: 258 | eff: 37.597 | logz: -2.0833 | dlogz: 1.0779 | loglstar: -0.6353 | point -9.95770058  4.43317015
it: 97 | ncall: 260 | eff: 37.692 | logz: -2.0674 | dlogz: 1.0607 | loglstar: -0.6315 | point -9.93299618  3.03798719
it: 98 | ncall: 263 | eff: 37.643 | logz: -2.0518 | dlogz: 1.0438 | loglstar: -0.6312 | point -9.9335059   3.45924409
it: 99 | ncall: 266 | eff: 37.594 | logz: -2.0366 | dlogz: 1.0273 | loglstar: -0.6288 | point -9.92608789  4.72380376
it: 100 | ncall: 267 | eff: 37.828 | logz: -2.0217 | dlogz: 1.0113 | loglstar: -0.6282 | point -8.30238238  1.12189982
it: 101 | ncall: 270 | eff: 37.778 | logz: -2.0072 | dlogz: 0.9956 | loglstar: -0.6237 | point -9.89607646  3.60271529
it: 102 | ncall: 272 | eff: 37.868 | logz: -1.9930 | dlogz: 0.9802 | loglstar: -0.6219 | point -8.34056915  2.63220076
it: 103 | ncall: 275 | eff: 37.818 | logz: -1.9790 | dlogz: 0.9652 | loglstar: -0.6161 | point -9.85065786  2.48242165
it: 104 | ncall: 276 | eff: 38.043 | logz: -1.9654 | dlogz: 0.9504 | loglstar: -0.6147 | point -9.85345827  4.41325052
it: 105 | ncall: 278 | eff: 38.129 | logz: -1.9520 | dlogz: 0.9360 | loglstar: -0.6143 | point -9.84235097  2.61391161
it: 106 | ncall: 281 | eff: 38.078 | logz: -1.9390 | dlogz: 0.9219 | loglstar: -0.6142 | point -9.83284853  1.63088045
it: 107 | ncall: 282 | eff: 38.298 | logz: -1.9262 | dlogz: 0.9081 | loglstar: -0.6131 | point -8.34776696  1.4962229 
it: 108 | ncall: 284 | eff: 38.380 | logz: -1.9137 | dlogz: 0.8946 | loglstar: -0.6127 | point -9.8293244   2.07406568
it: 109 | ncall: 285 | eff: 38.596 | logz: -1.9015 | dlogz: 0.8814 | loglstar: -0.6110 | point -9.82651033  2.83790784
it: 110 | ncall: 288 | eff: 38.542 | logz: -1.8895 | dlogz: 0.8685 | loglstar: -0.6108 | point -9.82627749  2.92030671
it: 111 | ncall: 292 | eff: 38.356 | logz: -1.8778 | dlogz: 0.8558 | loglstar: -0.6099 | point -9.82746391  4.13163769
it: 112 | ncall: 294 | eff: 38.435 | logz: -1.8663 | dlogz: 0.8434 | loglstar: -0.6097 | point -8.3682066   2.82558564
it: 113 | ncall: 295 | eff: 38.644 | logz: -1.8551 | dlogz: 0.8313 | loglstar: -0.6092 | point -9.80840868  1.78398365
it: 114 | ncall: 296 | eff: 38.851 | logz: -1.8440 | dlogz: 0.8194 | loglstar: -0.6089 | point -8.37105924  4.72771476
it: 115 | ncall: 300 | eff: 38.667 | logz: -1.8332 | dlogz: 0.8077 | loglstar: -0.6024 | point -9.77830459  2.4309051 
it: 116 | ncall: 301 | eff: 38.870 | logz: -1.8226 | dlogz: 0.7962 | loglstar: -0.6021 | point -9.75492263  0.23314713
it: 117 | ncall: 306 | eff: 38.562 | logz: -1.8121 | dlogz: 0.7850 | loglstar: -0.5978 | point -9.7620553   3.73110911
it: 118 | ncall: 307 | eff: 38.762 | logz: -1.8019 | dlogz: 0.7739 | loglstar: -0.5969 | point -9.75877185  3.99682538
it: 119 | ncall: 312 | eff: 38.462 | logz: -1.7918 | dlogz: 0.7631 | loglstar: -0.5944 | point -9.73430497  2.34036277
it: 120 | ncall: 315 | eff: 38.413 | logz: -1.7819 | dlogz: 0.7525 | loglstar: -0.5933 | point -9.73781671  3.62140622
it: 121 | ncall: 320 | eff: 38.125 | logz: -1.7722 | dlogz: 0.7420 | loglstar: -0.5917 | point -9.72480086  2.91841335
it: 122 | ncall: 322 | eff: 38.199 | logz: -1.7627 | dlogz: 0.7318 | loglstar: -0.5899 | point -9.71019821  2.34706462
it: 123 | ncall: 324 | eff: 38.272 | logz: -1.7533 | dlogz: 0.7217 | loglstar: -0.5897 | point -8.3862865   0.98436118
it: 124 | ncall: 326 | eff: 38.344 | logz: -1.7441 | dlogz: 0.7118 | loglstar: -0.5871 | point -9.69058925  1.9219999 
it: 125 | ncall: 328 | eff: 38.415 | logz: -1.7351 | dlogz: 0.7021 | loglstar: -0.5868 | point -8.40857584  1.32973468
it: 126 | ncall: 331 | eff: 38.369 | logz: -1.7262 | dlogz: 0.6926 | loglstar: -0.5833 | point -9.66313691  1.4582168 
it: 127 | ncall: 341 | eff: 37.537 | logz: -1.7174 | dlogz: 0.6832 | loglstar: -0.5824 | point -9.68151514  4.22661832
it: 128 | ncall: 343 | eff: 37.609 | logz: -1.7089 | dlogz: 0.6740 | loglstar: -0.5816 | point -8.43869011  4.72031906
it: 129 | ncall: 344 | eff: 37.791 | logz: -1.7004 | dlogz: 0.6650 | loglstar: -0.5784 | point -9.62708629  0.8820248 
it: 130 | ncall: 346 | eff: 37.861 | logz: -1.6921 | dlogz: 0.6561 | loglstar: -0.5779 | point -8.38864912  0.66040234
it: 131 | ncall: 352 | eff: 37.500 | logz: -1.6839 | dlogz: 0.6473 | loglstar: -0.5751 | point -9.62687063  2.31138386
it: 132 | ncall: 355 | eff: 37.465 | logz: -1.6759 | dlogz: 0.6387 | loglstar: -0.5747 | point -9.63132615  3.11253303
it: 133 | ncall: 358 | eff: 37.430 | logz: -1.6680 | dlogz: 0.6303 | loglstar: -0.5721 | point -8.41798604  0.75535909
it: 134 | ncall: 359 | eff: 37.604 | logz: -1.6602 | dlogz: 0.6220 | loglstar: -0.5707 | point -8.43149446  0.85233872
it: 135 | ncall: 370 | eff: 36.757 | logz: -1.6526 | dlogz: 0.6138 | loglstar: -0.5696 | point -8.4465719   1.03477647
it: 136 | ncall: 371 | eff: 36.927 | logz: -1.6450 | dlogz: 0.6058 | loglstar: -0.5693 | point -9.60561118  3.87532194
it: 137 | ncall: 375 | eff: 36.800 | logz: -1.6376 | dlogz: 0.5979 | loglstar: -0.5669 | point -9.55903795  0.70751677
it: 138 | ncall: 380 | eff: 36.579 | logz: -1.6303 | dlogz: 0.5901 | loglstar: -0.5664 | point -9.58915776  3.9464948 
it: 139 | ncall: 382 | eff: 36.649 | logz: -1.6231 | dlogz: 0.5824 | loglstar: -0.5650 | point -8.48840351  3.33406343
it: 140 | ncall: 384 | eff: 36.719 | logz: -1.6161 | dlogz: 0.5749 | loglstar: -0.5607 | point -9.52324654  0.84276266
it: 141 | ncall: 385 | eff: 36.883 | logz: -1.6091 | dlogz: 0.5675 | loglstar: -0.5605 | point -8.49595357  1.74885393
it: 142 | ncall: 389 | eff: 36.761 | logz: -1.6022 | dlogz: 0.5602 | loglstar: -0.5597 | point -8.50533618  4.09520825
it: 143 | ncall: 395 | eff: 36.456 | logz: -1.5955 | dlogz: 0.5530 | loglstar: -0.5596 | point -9.54365863  3.26159256
it: 144 | ncall: 396 | eff: 36.616 | logz: -1.5889 | dlogz: 0.5460 | loglstar: -0.5587 | point -9.52191365  1.71278819
it: 145 | ncall: 400 | eff: 36.500 | logz: -1.5823 | dlogz: 0.5390 | loglstar: -0.5572 | point -9.53402585  3.97689385
it: 146 | ncall: 405 | eff: 36.296 | logz: -1.5759 | dlogz: 0.5322 | loglstar: -0.5564 | point -9.50205685  1.31882604
it: 147 | ncall: 410 | eff: 36.098 | logz: -1.5696 | dlogz: 0.5255 | loglstar: -0.5561 | point -8.50679651  1.49644991
it: 148 | ncall: 414 | eff: 35.990 | logz: -1.5633 | dlogz: 0.5188 | loglstar: -0.5558 | point -9.51333576  2.50777903
it: 149 | ncall: 416 | eff: 36.058 | logz: -1.5572 | dlogz: 0.5123 | loglstar: -0.5558 | point -9.51889828  3.12909791
it: 150 | ncall: 423 | eff: 35.697 | logz: -1.5511 | dlogz: 0.5059 | loglstar: -0.5555 | point -9.51334529  2.70960395
it: 151 | ncall: 432 | eff: 35.185 | logz: -1.5452 | dlogz: 0.4996 | loglstar: -0.5547 | point -9.52185725  4.4249317 
it: 152 | ncall: 435 | eff: 35.172 | logz: -1.5393 | dlogz: 0.4934 | loglstar: -0.5541 | point -9.50998697  3.34015693
it: 153 | ncall: 443 | eff: 34.763 | logz: -1.5336 | dlogz: 0.4872 | loglstar: -0.5529 | point -9.47985926  0.37074327
it: 154 | ncall: 446 | eff: 34.753 | logz: -1.5279 | dlogz: 0.4812 | loglstar: -0.5522 | point -9.47880952  1.55531907
it: 155 | ncall: 460 | eff: 33.913 | logz: -1.5223 | dlogz: 0.4753 | loglstar: -0.5502 | point -9.4650361  1.5248929
it: 156 | ncall: 461 | eff: 34.056 | logz: -1.5167 | dlogz: 0.4694 | loglstar: -0.5493 | point -9.46099955  1.64723357
it: 157 | ncall: 464 | eff: 34.052 | logz: -1.5113 | dlogz: 0.4636 | loglstar: -0.5442 | point -9.45384047  4.36343826
it: 158 | ncall: 465 | eff: 34.194 | logz: -1.5059 | dlogz: 0.4579 | loglstar: -0.5422 | point -8.56804869  4.87132619
it: 159 | ncall: 474 | eff: 33.755 | logz: -1.5005 | dlogz: 0.4523 | loglstar: -0.5419 | point -9.42717377  3.00360179
it: 160 | ncall: 479 | eff: 33.612 | logz: -1.4953 | dlogz: 0.4468 | loglstar: -0.5411 | point -8.509902    0.62071974
it: 161 | ncall: 490 | eff: 33.061 | logz: -1.4901 | dlogz: 0.4413 | loglstar: -0.5402 | point -9.40591996  2.17701218
it: 162 | ncall: 491 | eff: 33.198 | logz: -1.4850 | dlogz: 0.4360 | loglstar: -0.5384 | point -9.38083148  1.26515451
it: 163 | ncall: 501 | eff: 32.735 | logz: -1.4800 | dlogz: 0.4307 | loglstar: -0.5377 | point -9.37360689  0.96162544
it: 164 | ncall: 506 | eff: 32.609 | logz: -1.4751 | dlogz: 0.4255 | loglstar: -0.5369 | point -9.38752434  2.61513175
it: 165 | ncall: 511 | eff: 32.485 | logz: -1.4702 | dlogz: 0.4203 | loglstar: -0.5369 | point -8.58980039  1.8509093 
it: 166 | ncall: 525 | eff: 31.810 | logz: -1.4653 | dlogz: 0.4153 | loglstar: -0.5339 | point -9.37128111  3.18064829
it: 167 | ncall: 539 | eff: 31.169 | logz: -1.4606 | dlogz: 0.4103 | loglstar: -0.5330 | point -9.34237194  1.35541672
it: 168 | ncall: 541 | eff: 31.238 | logz: -1.4559 | dlogz: 0.4053 | loglstar: -0.5327 | point -9.35905823  2.88652107
it: 169 | ncall: 544 | eff: 31.250 | logz: -1.4513 | dlogz: 0.4005 | loglstar: -0.5327 | point -8.61158457  2.01892378
it: 170 | ncall: 546 | eff: 31.319 | logz: -1.4467 | dlogz: 0.3957 | loglstar: -0.5322 | point -8.61640916  3.13881209
it: 171 | ncall: 552 | eff: 31.159 | logz: -1.4422 | dlogz: 0.3910 | loglstar: -0.5316 | point -8.61905889  2.41426293
it: 172 | ncall: 559 | eff: 30.948 | logz: -1.4378 | dlogz: 0.3863 | loglstar: -0.5316 | point -8.61873629  2.29978219
it: 173 | ncall: 563 | eff: 30.906 | logz: -1.4334 | dlogz: 0.3817 | loglstar: -0.5316 | point -8.60132238  1.18779677
it: 174 | ncall: 564 | eff: 31.028 | logz: -1.4291 | dlogz: 0.3772 | loglstar: -0.5315 | point -9.3368421   1.83666996
it: 175 | ncall: 570 | eff: 30.877 | logz: -1.4248 | dlogz: 0.3728 | loglstar: -0.5291 | point -9.30923652  1.10981177
it: 176 | ncall: 576 | eff: 30.729 | logz: -1.4206 | dlogz: 0.3684 | loglstar: -0.5290 | point -9.32132965  2.16078481
it: 177 | ncall: 578 | eff: 30.796 | logz: -1.4165 | dlogz: 0.3640 | loglstar: -0.5288 | point -8.63387152  3.1178023 
it: 178 | ncall: 584 | eff: 30.651 | logz: -1.4124 | dlogz: 0.3597 | loglstar: -0.5282 | point -9.33439904  3.84113686
it: 179 | ncall: 586 | eff: 30.717 | logz: -1.4084 | dlogz: 0.3555 | loglstar: -0.5280 | point -9.33318413  3.84128218
it: 180 | ncall: 590 | eff: 30.678 | logz: -1.4044 | dlogz: 0.3514 | loglstar: -0.5277 | point -9.31199521  2.2687765 
